spearman	sample1	sample2
0.920205152925	DMSO_4cell_rep2	NAI_egg_rep1
0.965248754481	DMSO_4cell_rep2	DMSO_1cell_rep1
0.921086641434	DMSO_4cell_rep2	DMSO_egg_rep1
0.970285316416	DMSO_4cell_rep2	NAI_4cell_rep1
0.887377089028	DMSO_4cell_rep2	NAI_64cell_rep2
0.560688465676	DMSO_4cell_rep2	DMSO_shield_rep2
0.952072949188	DMSO_4cell_rep2	NAI_egg_rep2
0.899849874212	DMSO_4cell_rep2	DMSO_sphere_rep1
0.558337703372	DMSO_4cell_rep2	DMSO_shield_rep1
1.0	DMSO_64cell_rep1	DMSO_64cell_rep1
0.924699025023	DMSO_64cell_rep1	NAI_1cell_rep1
0.933006138172	DMSO_64cell_rep1	DMSO_64cell_rep2
0.611096903908	DMSO_64cell_rep1	NAI_shield_rep2
0.979248046632	DMSO_64cell_rep1	NAI_64cell_rep1
0.900497214076	DMSO_64cell_rep1	NAI_sphere_rep1
0.640780577223	DMSO_64cell_rep1	NAI_shield_rep1
0.982304428182	DMSO_64cell_rep1	DMSO_4cell_rep1
0.954339052304	DMSO_64cell_rep1	NAI_sphere_rep2
0.828415158117	DMSO_64cell_rep1	DMSO_egg_rep2
0.788060266096	DMSO_64cell_rep1	NAI_egg_rep1
0.857665238716	DMSO_64cell_rep1	DMSO_1cell_rep1
0.79505081555	DMSO_64cell_rep1	DMSO_egg_rep1
0.971582833364	DMSO_64cell_rep1	NAI_4cell_rep1
0.934895714735	DMSO_64cell_rep1	NAI_64cell_rep2
0.571216072997	DMSO_64cell_rep1	DMSO_shield_rep2
0.837379581028	DMSO_64cell_rep1	NAI_egg_rep2
0.952423197912	DMSO_64cell_rep1	DMSO_sphere_rep1
0.564238944262	DMSO_64cell_rep1	DMSO_shield_rep1
1.0	NAI_1cell_rep1	NAI_1cell_rep1
0.884129177472	NAI_1cell_rep1	DMSO_64cell_rep2
0.588129365204	NAI_1cell_rep1	NAI_shield_rep2
0.920573955821	NAI_1cell_rep1	NAI_64cell_rep1
0.83114811165	NAI_1cell_rep1	NAI_sphere_rep1
0.615479502557	NAI_1cell_rep1	NAI_shield_rep1
0.960559692289	NAI_1cell_rep1	DMSO_4cell_rep1
0.869455411647	NAI_1cell_rep1	NAI_sphere_rep2
0.946824750722	NAI_1cell_rep1	DMSO_egg_rep2
0.947144625012	NAI_1cell_rep1	NAI_egg_rep1
0.968923760926	NAI_1cell_rep1	DMSO_1cell_rep1
0.943043207896	NAI_1cell_rep1	DMSO_egg_rep1
0.963216336386	NAI_1cell_rep1	NAI_4cell_rep1
0.864061182678	NAI_1cell_rep1	NAI_64cell_rep2
0.54794358072	NAI_1cell_rep1	DMSO_shield_rep2
0.956312475614	NAI_1cell_rep1	NAI_egg_rep2
0.876621762269	NAI_1cell_rep1	DMSO_sphere_rep1
0.54400301267	NAI_1cell_rep1	DMSO_shield_rep1
1.0	DMSO_64cell_rep2	DMSO_64cell_rep2
0.631695807153	DMSO_64cell_rep2	NAI_shield_rep2
0.951724241554	DMSO_64cell_rep2	NAI_64cell_rep1
0.879855076908	DMSO_64cell_rep2	NAI_sphere_rep1
0.653440797284	DMSO_64cell_rep2	NAI_shield_rep1
0.953295409676	DMSO_64cell_rep2	DMSO_4cell_rep1
0.906230845675	DMSO_64cell_rep2	NAI_sphere_rep2
0.847146924276	DMSO_64cell_rep2	DMSO_egg_rep2
0.775283392924	DMSO_64cell_rep2	NAI_egg_rep1
