Unnamed: 0_x	transcript	riboseq(control)_x	riboseq(RK33)_x	rnaseq(control)_x	rnaseq(RK33)_x	TE(control)_x	TE(RK33)_x	log2(TE(control))_x	log2(TE(RK33))_x	Unnamed: 0_y	riboseq(control)_y	riboseq(RK33)_y	rnaseq(control)_y	rnaseq(RK33)_y	TE(control)_y	TE(RK33)_y	log2(TE(control))_y	log2(TE(RK33))_y	mean(TE(control))	mean(TE(RK33))	log2(mean(TE(control)))	log2(mean(TE(RK33)))
0	NM_001126388	55.6577621812	34.0604504778	103.90420827700001	150.794587651	0.535664176689	0.225873163012	-0.900599277907	-2.14641522694	4013	71.6468114545	28.869659710100002	97.95878245760001	155.905593342	0.731397529216	0.18517398312199998	-0.451272341867	-2.4330466801900004	0.6335308529525	0.20552357306699998	-0.6585132145620063	-2.2826242177861293
1	NM_212849	15.6752546828	49.2423441037	44.8467396356	41.5494712359	0.34952941529700005	1.18514971765	-1.5165142215	0.24506932348299998	2	22.011220931999997	4.57651781824	44.8543508179	37.0671578882	0.490726552288	0.12346557111400001	-1.02700875986	-3.01781929848	0.42012798379250005	0.6543076443820001	-1.2510992111479404	-0.611958968849658
2	NM_001082993	7.909977993360001	0.851947023327	8.54816722761	11.7565115762	0.9253419806540001	0.07246597069249999	-0.111941450757	-3.7865525110400005	4	5.64507379421	5.3208167480699995	9.06195020166	10.7130662612	0.6229424868360001	0.496666091513	-0.682829122306	-1.0096518407200001	0.7741422337450001	0.28456603110275003	-0.3693294367003187	-1.813164638520088
3	NM_001309488	0.8492695307070001	9.14708801081	11.0195169799	15.7222818232	0.0770695786627	0.581791378228	-3.6976946859699993	-0.781426178098	5	16.8359408277	3.5704962978400006	11.1656832217	13.128065626800002	1.50782898757	0.271974287709	0.592472812708	-1.87845782852	0.79244928311635	0.4268828329685	-0.33560948939922297	-1.2280879489080456
4	NM_001082994	2.74955077949	1.4807067756999999	30.7665052886	41.4124253509	0.0893683164109	0.0357551329861	-3.48409274381	-4.80570582055	6	10.3563613023	0.38532175883500003	29.3825922207	47.1638021289	0.352465882673	0.008169862085799999	-1.5044444778900001	-6.93547256	0.22091709954195	0.02196249753595	-2.178423003629167	-5.508814065402105
5	NM_001100145	12.9157750902	13.9109819917	33.5907610478	21.5578423802	0.384503794714	0.645286376362	-1.3789302584999998	-0.631988528049	7	35.8459716521	25.3402151952	31.416631008400003	20.2504493579	1.14098713011	1.2513408837200002	0.190282518685	0.323474854458	0.762745462412	0.9483136300410001	-0.39072640267953346	-0.07656382302667067
6	NM_001018083	3.6943771091300004	7.95808429255	27.9380239913	32.0453866059	0.132234731786	0.24833790868	-2.9188269407700003	-2.00962358976	8	13.182736679000001	25.886481095500002	27.889961433299998	34.1396505818	0.472669591549	0.758252666748	-1.08109604071	-0.399249428121	0.3024521616675	0.503295287714	-1.7252211230219638	-0.990523004748692
7	NM_001100147	16.3066404309	19.6828132809	24.820932333600002	17.5770530891	0.6569713100110001	1.11980166306	-0.60609772557	0.16324322776900002	9	22.294017628899997	0.7880037536210001	24.646867212199997	13.967749095699999	0.904537580251	0.0564159442027	-0.14474765205600001	-4.14775323688	0.780754445131	0.58810880363135	-0.35705921680841224	-0.7658450079579524
8	NM_001288658	34.4181605585	65.3286374197	47.305405570699996	65.4162964156	0.727573522376	0.9986599822869999	-0.458835053041	-0.0019345333530499998	10	91.7198891364	33.210001929	46.959985860100005	67.0555215707	1.95314984569	0.495261257404	0.965802637061	-1.0137383266	1.3403616840330002	0.7469606198455	0.42262235094652406	-0.420895909504979
9	NM_001002720	7.9834809381500005	13.9095596009	54.3655434796	50.960742531899996	0.146848176753	0.272946564548	-2.76760274142	-1.8733095562200002	1611	19.550348956300002	12.5042820585	56.1135389262	51.0377249733	0.348406985737	0.24500077276299997	-1.52115454389	-2.02914179521	0.247627581245	0.2589736686555	-2.013756081186223	-1.9491226766330587
10	NM_001045378	42.3454220474	17.5416496321	0.434228707573	0.812615440775	97.5187068678	21.5866555715	6.60760709033	4.43206783829	12	41.9728363104	25.1065820054	0.5107286423640001	0.8273071407260001	82.1822643745	30.347353201100002	6.36075517663	4.923498789619999	89.85048562115	25.9670043863	6.489454396077577	4.698607685865417
14	NM_001288652	19.020636204000002	13.6574964005	45.978849787	38.746821225	0.41368229723300004	0.352480435006	-1.27340487345	-1.50438491426	14	16.3395083373	11.550716534300001	44.9309493965	37.075897467	0.36365820346	0.31154246622299997	-1.4593449736700002	-1.68249926508	0.38867025034650005	0.3320114506145	-1.363381409953017	-1.590695095905887
16	NM_001288657	15.054036305899999	3.6850008911300005	226.17654408299998	230.11351549	0.06655878648659999	0.016013839444799997	-3.9092270595699996	-5.964536942890001	17	8.13904362304	7.6715311794700005	221.779398162	244.756001503	0.036698826358500004	0.031343587623400004	-4.76812226387	-4.99568586796	0.051628806422549994	0.0236787135341	-4.275679944148288	-5.400265488385184
17	NM_213539	10.0961922148	1.6475969878299999	23.1992710187	25.9389084206	0.43519437342100004	0.0635183624968	-1.2002681906200001	-3.97668246949	18	7.8845855578999995	3.8587617863199997	22.7023017016	23.928479033200002	0.34730335547200003	0.161262309274	-1.5257317455000001	-2.63251880814	0.39124886444650003	0.11239033588540001	-1.3538415300875517	-3.1534101071009655
