egg(transcript)	egg(UTR5)	egg(CDS)	egg(UTR3)	1cell(transcript)	1cell(UTR5)	1cell(CDS)	1cell(UTR3)	4cell(transcript)	4cell(UTR5)	4cell(CDS)	4cell(UTR3)	64cell(transcript)	64cell(UTR5)	64cell(CDS)	64cell(UTR3)	1K(transcript)	1K(UTR5)	1K(CDS)	1K(UTR3)	sphere(transcript)	sphere(UTR5)	sphere(CDS)	sphere(UTR3)	shield(transcript)	shield(UTR5)	shield(CDS)	shield(UTR3)
NM_200771	0.2714009623095429	0.2950566037735849	0.2542428571428571	0.28046390168970814	0.3644328125	0.3381226415094339	0.34107755102040815	0.3852412280701754	0.2452	0.20475471698113207	0.2397469387755102	0.25584097859327215	0.21638897763578274	0.2310841121495327	0.19065510204081632	0.23323969465648853	0.2625991967871486	0.20689719626168226	0.27505306122448975	0.26237962962962963	0.29435225505443235	0.29028037383177574	0.2816714285714286	0.3040029027576197	0.3112472	0.3226509433962264	0.2975591836734694	0.3196544342507645
NM_200777	0.29122781569965867	0.31995625	0.2729829931972789	NULL	0.29436462093862814	0.28580392156862744	0.2886259977194983	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.24775382653061226	0.2428648648648649	0.24373239436619717	NULL	NULL	NULL	NULL	NULL
NM_200776	0.2824466378778532	0.23911827956989246	0.2822648601398602	0.31085567010309273	0.330703182374541	0.35257446808510634	0.3247896103896104	0.3400446735395189	0.2717782002534854	0.23997765363128484	0.274115523465704	0.28243986254295533	0.22819975031210984	0.1879726775956284	0.2345398936170213	0.22892096219931266	0.27578144458281445	0.24614285714285714	0.29173179396092364	0.23331271477663232	0.2811339829476248	0.2677333333333333	0.2856453287197232	0.27219243986254293	0.2908627450980392	0.27003076923076924	0.29331413612565443	0.29516838487972513
NM_200775	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.31338344226579523	0.4134259259259259	0.3020550161812298	0.2935729166666667
NM_200774	0.27791339155749634	0.46025999999999995	0.27670357751277685	0.22660000000000002	0.3298150036416606	0.6414285714285715	0.32461243611584323	0.26874000000000003	0.25930387143900663	0.42311111111111116	0.2574880749574106	0.2243733333333333	0.23037820043891735	0.4152093023255814	0.22928790459965925	0.18592666666666666	0.27283467446964155	0.5414186046511628	0.2706115843270869	0.21324000000000004	0.2838530909090909	0.5707058823529412	0.2807427597955707	0.21066666666666667	0.2895294573643411	NULL	0.29758596491228073	0.22830000000000003
NM_001098781	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NM_001142586	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NM_200779	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.21670602218700477	0.26396540084388187	NULL	0.26109453712790315	0.2630069735006974	NULL	NULL	NULL	NULL
NM_199219	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.2409417475728155	NULL	0.25808993033565547	0.21062038073908176	0.2705199084668192	NULL	0.2735845864661654	NULL	0.2852728297632469	NULL	0.29068483709273185	0.27327483124397295
NM_199218	0.2578082267926626	0.29651351351351357	0.2435619967793881	0.28851138716356106	0.314257658643326	NULL	0.2979061538461538	0.3426258064516129	0.2575217877094972	0.23087012987012992	0.25585934959349593	0.2660041407867495	0.21967293233082708	0.20875949367088603	0.20683384615384617	0.25601449275362315	0.2638210302708444	0.25554000000000004	0.2632376923076923	0.2671055900621118	0.27647427055702917	0.4227450980392156	0.2604753846153846	0.28864596273291926	0.2902922666666667	0.38296739130434787	0.2868323076923077	0.28195238095238095
