value1	value2	log2.Fold_change.	log2.Fold_change..normalized	z.score	p.value	q.value.Benjamini.et.al..1995.	q.value.Storey.et.al..2003.	Signature.p.value...0.001.
NM_001309531	11505	104263	-3.17989438819674	-2.96835037993878	-271.146388856769	0	0	0	TRUE
NM_201143	2839	76716	-4.75607274550063	-4.54452873724267	-270.964666663976	0	0	0	TRUE
NM_001080041	20086	125256	-2.64061751872016	-2.4290735104622	-267.033930307631	0	0	0	TRUE
NM_001045388	1941	71933	-5.2117817504786	-5.00023774222064	-266.769748851857	0	0	0	TRUE
NM_199839	6046	84784	-3.80973914841563	-3.59819514015767	-265.736070275029	0	0	0	TRUE
NM_201050	13142	106086	-3.01297752630434	-2.80143351804638	-265.703852318926	0	0	0	TRUE
NM_213528	4124	77291	-4.22818419429651	-4.01664018603856	-263.414364746208	0	0	0	TRUE
NM_131734	4437	77817	-4.1324289043511	-3.92088489609315	-262.325531226094	0	0	0	TRUE
NM_001328091	2009	69671	-5.11600880150989	-4.90446479325193	-261.822600904427	0	0	0	TRUE
NM_001110126	17018	113729	-2.74046677422975	-2.5289227659718	-260.361046637324	0	0	0	TRUE
NM_001309640	25493	134755	-2.40216574037172	-2.19062173211376	-260.328446795734	0	0	0	TRUE
NM_203321	14041	104883	-2.90106326394981	-2.68951925569185	-258.606426889577	0	0	0	TRUE
NM_001145554	6023	80721	-3.74438988313254	-3.53284587487458	-257.48037111939	0	0	0	TRUE
NM_001013273	15577	107625	-2.78852392336358	-2.57697991510563	-255.948262561111	0	0	0	TRUE
NM_212657	45606	176437	-1.95185758995675	-1.74031358169879	-255.876224058415	0	0	0	TRUE
NM_001044779	1835	65946	-5.16743318628924	-4.95588917803129	-255.113977239468	0	0	0	TRUE
NM_131513	63353	210698	-1.7336917767169	-1.52214776845895	-254.005869825365	0	0	0	TRUE
NM_001037667	19188	115423	-2.58865448444127	-2.37711047618332	-253.12148763875	0	0	0	TRUE
NM_001003995	5015	75144	-3.90533630836028	-3.69379230010233	-252.598201855736	0	0	0	TRUE
NM_130922	42164	166813	-1.98414808097984	-1.77260407272188	-251.99810924484	0	0	0	TRUE
NM_199823	74499	230140	-1.62721879068674	-1.41567478242878	-251.505436818277	0	0	0	TRUE
NM_200096	10785	91841	-3.09011217421718	-2.87856816595922	-250.652143515983	0	0	0	TRUE
NM_001077716	1407	62500	-5.47316195608764	-5.26161794782969	-250.073376230396	0	0	0	TRUE
NM_199432	17472	109362	-2.64599486566005	-2.4344508574021	-249.832223880274	0	0	0	TRUE
NM_001014343	945	60980	-6.01187801078868	-5.80033400253072	-248.033486667827	0	0	0	TRUE
NM_001128693	2737	64693	-4.5629422763956	-4.35139826813764	-246.360522180758	0	0	0	TRUE
NM_001007347	885	60029	-6.08383836944282	-5.87229436118487	-246.057192128017	0	0	0	TRUE
NM_201318	81542	238973	-1.5512323790173	-1.33968837075935	-245.750725097689	0	0	0	TRUE
NM_200446	3980	68569	-4.10671614642779	-3.89517213816983	-245.721089135875	0	0	0	TRUE
NM_198210	26164	127593	-2.28589415756228	-2.07435014930433	-244.752201486483	0	0	0	TRUE
NM_001305664	12550	93748	-2.90110054849733	-2.68955654023937	-244.492854063554	0	0	0	TRUE
NM_001005937	15239	100477	-2.72102515479457	-2.50948114653662	-243.657330504559	0	0	0	TRUE
NM_199480	4958	69989	-3.81929801848489	-3.60775401022693	-241.677678502919	0	0	0	TRUE
NM_214708	775	57796	-6.2206295281717	-6.00908551991374	-241.273544061995	0	0	0	TRUE
NM_213336	282775	561361	-0.989274259702132	-0.777730251444176	-241.192839224365	0	0	0	TRUE
NM_199431	22944	117537	-2.35692614647251	-2.14538213821455	-239.977474331556	0	0	0	TRUE
NM_001327845	4096	65804	-4.00588766267056	-3.7943436544126	-238.617700690911	0	0	0	TRUE
NM_212581	12828	91632	-2.83655524968345	-2.62501124142549	-238.570497196665	0	0	0	TRUE
NM_201085	8464	79373	-3.2292368023785	-3.01769279412055	-238.457669641295	0	0	0	TRUE
NM_212932	35774	144329	-2.01237786481525	-1.8008338565573	-236.963986558739	0	0	0	TRUE
NM_200261	4053	64618	-3.99487401775778	-3.78333000949983	-236.221493606735	0	0	0	TRUE
NM_199516	11287	86296	-2.93463160948935	-2.72308760123139	-236.120838186036	0	0	0	TRUE
NM_212940	9391	79760	-3.08631471328058	-2.87477070502262	-233.428202465092	0	0	0	TRUE
NM_001076556	2196	56898	-4.69542798234161	-4.48388397408366	-232.671637069046	0	0	0	TRUE
NM_152973	6022	69185	-3.52214466787501	-3.31060065961705	-232.146757850062	0	0	0	TRUE
NM_212735	9374	79028	-3.07562719771645	-2.86408318945849	-231.919787366851	0	0	0	TRUE
NM_001100406	1591	54447	-5.09684681864069	-4.88530281038274	-231.316737063124	0	0	0	TRUE
NM_201307	7211	72384	-3.3273995873371	-3.11585557907914	-231.157168370258	0	0	0	TRUE
NM_213298	1966	54845	-4.80202487507697	-4.59048086681901	-229.585326433718	0	0	0	TRUE
NM_200949	64924	196922	-1.60080050431415	-1.3892564960562	-229.342445152209	0	0	0	TRUE
NM_001115095	66757	200008	-1.58306667880517	-1.37152267054721	-228.885927325745	0	0	0	TRUE
