"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"z-score"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(p-value < 0.001)"
NM_001002360	3784	3448	0.134152314250295	0.38156897356303	11.2607178734441	2.05081239597075e-29	3.0915231640753e-29	9.27657647138867e-31	TRUE
NM_200728	8208	11450	-0.480244962264615	-0.232828302951881	-11.2569149895499	2.14123896264725e-29	3.22747012016242e-29	9.68450559475717e-31	TRUE
NM_001109732	381	876	-1.20113987210785	-0.953723212795117	-11.2561098661344	2.16088516427667e-29	3.25671165378114e-29	9.77224917886061e-31	TRUE
NM_213216	28026	36362	-0.375665702540552	-0.128249043227817	-11.2528854683384	2.24137396978429e-29	3.37763314284919e-29	1.01350921468218e-30	TRUE
NM_001327910	721	438	0.719068389639649	0.966485048952383	11.2500942067995	2.31344837504539e-29	3.48584847400359e-29	1.04598083923592e-30	TRUE
NM_001127470	18679	24710	-0.403677789755005	-0.15626113044227	-11.247314264872	2.38751561372321e-29	3.59704157198494e-29	1.07934598715074e-30	TRUE
NM_001044991	11043	11280	-0.0306349121809379	0.216781747131797	11.2459706370319	2.42415324440478e-29	3.65182415765907e-29	1.09578431927168e-30	TRUE
NM_001030136	1202	2122	-0.819987760203579	-0.572571100890845	-11.2357527633676	2.7216413478577e-29	4.09950326428793e-29	1.23011711404237e-30	TRUE
NM_001324516	102	376	-1.88216350970614	-1.63474685039341	-11.2332550160221	2.79970771558033e-29	4.21661158620869e-29	1.26525721314814e-30	TRUE
NM_001004118	1092	1962	-0.845352185299387	-0.597935525986652	-11.2329764462101	2.80855088774922e-29	4.22944875891303e-29	1.26910919833305e-30	TRUE
NM_199534	1671	1314	0.346746457738858	0.594163117051593	11.2307497857669	2.88023940427564e-29	4.33691220643803e-29	1.3013552089866e-30	TRUE
NM_001040241	330	790	-1.25938662881865	-1.01196996950592	-11.2282345953488	2.96340305851962e-29	4.46162788658091e-29	1.33877800941943e-30	TRUE
NM_001077617	228	64	1.83289001416474	2.08030667347748	11.2270086025215	3.00479936986237e-29	4.52343844153476e-29	1.35732518857149e-30	TRUE
NM_131091	14	164	-3.55019708256048	-3.30278042324774	-11.2261424050447	3.0343924075036e-29	4.56746825297839e-29	1.37053699036628e-30	TRUE
NM_001045323	8858	12280	-0.471257658372226	-0.223840999059491	-11.2252803656812	3.06413047078819e-29	4.61170631998618e-29	1.38381128235002e-30	TRUE
NM_001037123	198	560	-1.49992639686536	-1.25250973755262	-11.222839028451	3.14992843455605e-29	4.74029835277651e-29	1.42239724022517e-30	TRUE
NM_131037	122	0	7.93073733756289	8.17815399687562	11.2226535138366	3.15654474562213e-29	4.74944487738971e-29	1.42506076217775e-30	TRUE
